ref_chrom	qry_contig	n	total_kb
seq00000045	S-latissima_F_contig3222	1	7.2
seq00000045	S-latissima_F_contig4401	1	5.5
seq00000045	S-latissima_F_contig4270	1	5.2
seq00000045	S-latissima_F_contig3837	1	5.1
seq00000045	S-latissima_F_contig4395	1	5
seq00000054	SL_15	112	6960.9
seq00000054	S-latissima_F_contig874	2	152.2
seq00000054	S-latissima_F_contig1294	1	122.9
seq00000054	S-latissima_F_contig1118	3	114.9
seq00000054	S-latissima_F_contig1448	2	112
seq00000054	S-latissima_F_contig1665	3	76
seq00000054	S-latissima_F_contig1957	2	64.6
seq00000054	S-latissima_F_contig1478	4	61.4
seq00000054	S-latissima_F_contig2573	1	42.5
seq00000054	S-latissima_F_contig2515	1	42
seq00000054	S-latissima_F_contig2283	1	41.2
seq00000054	S-latissima_F_contig2598	1	40.6
seq00000054	S-latissima_F_contig2141	2	37.9
seq00000054	S-latissima_F_contig2202	2	28.3
seq00000054	S-latissima_F_contig3093	1	17.8
seq00000054	S-latissima_F_contig3197	1	17.4
seq00000054	S-latissima_F_contig2105	1	17.2
seq00000054	S-latissima_F_contig3536	1	16.9
seq00000054	S-latissima_F_contig3586	1	16.2
seq00000054	S-latissima_F_contig3580	1	15.3
seq00000054	S-latissima_F_contig2561	1	15.2
seq00000054	S-latissima_F_contig2887	1	13.6
seq00000054	S-latissima_F_contig3539	1	12.5
seq00000054	S-latissima_F_contig3800	1	11.3
seq00000054	S-latissima_F_contig3054	1	9.4
seq00000054	S-latissima_F_contig3427	1	9.1
seq00000054	S-latissima_F_contig4013	1	9
seq00000054	S-latissima_F_contig3302	1	6.8
seq00000054	S-latissima_F_contig3337	1	6.1
seq00000054	S-latissima_F_contig3797	1	5.8
seq00000055	SL_19	114	7228.6
seq00000055	S-latissima_F_contig1013	3	123.5
seq00000055	S-latissima_F_contig1978	1	72.1
seq00000055	S-latissima_F_contig2102	3	55
seq00000055	S-latissima_F_contig2302	1	51.8
seq00000055	S-latissima_F_contig2335	1	43.6
seq00000055	S-latissima_F_contig2624	1	39.6
seq00000055	S-latissima_F_contig2748	1	36.3
seq00000055	S-latissima_F_contig2293	1	35.5
seq00000055	S-latissima_F_contig2845	1	32.5
seq00000055	S-latissima_F_contig2735	2	31.6
seq00000055	S-latissima_F_contig2791	2	25
seq00000055	S-latissima_F_contig2413	1	24
seq00000055	S-latissima_F_contig3291	2	21.1
seq00000055	S-latissima_F_contig2550	1	18.8
seq00000055	S-latissima_F_contig3433	1	17.1
seq00000055	S-latissima_F_contig3207	1	16.5
seq00000055	S-latissima_F_contig3604	1	14.1
seq00000055	S-latissima_F_contig3905	1	11.1
seq00000055	S-latissima_F_contig3287	1	10.3
seq00000055	S-latissima_F_contig3911	1	9
seq00000055	S-latissima_F_contig3699	1	8.6
seq00000055	S-latissima_F_contig3903	1	8.5
seq00000055	S-latissima_F_contig3994	1	7.4
seq00000055	S-latissima_F_contig4192	1	7.4
seq00000056	S-latissima_F_contig236	6	371.8
seq00000056	S-latissima_F_contig525	3	240
seq00000056	S-latissima_F_contig443	5	233
seq00000056	S-latissima_F_contig850	5	141.6
seq00000056	S-latissima_F_contig928	5	138.8
seq00000056	S-latissima_F_contig1509	2	95.5
seq00000056	S-latissima_F_contig936	2	91.9
seq00000056	S-latissima_F_contig1867	1	79.6
seq00000056	S-latissima_F_contig1987	1	71.7
seq00000056	S-latissima_F_contig1930	2	69.4
seq00000056	S-latissima_F_contig1638	2	68.6
seq00000056	S-latissima_F_contig1926	2	58.7
seq00000056	S-latissima_F_contig1467	2	55.4
seq00000056	S-latissima_F_contig2284	1	54.8
seq00000056	S-latissima_F_contig2288	1	54
seq00000056	S-latissima_F_contig2348	1	53.6
seq00000056	S-latissima_F_contig2315	2	50.8
seq00000056	S-latissima_F_contig2437	1	46.7
seq00000056	S-latissima_F_contig2347	1	44.7
seq00000056	S-latissima_F_contig2514	1	41.5
seq00000056	S-latissima_F_contig2124	1	38.5
seq00000056	S-latissima_F_contig2566	1	29.5
seq00000056	S-latissima_F_contig2907	1	26
seq00000056	S-latissima_F_contig2551	1	25.5
seq00000056	S-latissima_F_contig2616	1	18.8
seq00000056	S-latissima_F_contig2681	2	18.3
seq00000056	S-latissima_F_contig3548	1	17
seq00000056	S-latissima_F_contig2282	1	16.6
seq00000056	S-latissima_F_contig2983	1	15.2
seq00000056	S-latissima_F_contig3415	1	13.6
seq00000056	S-latissima_F_contig3290	1	12.8
seq00000056	S-latissima_F_contig2849	1	9.8
seq00000056	S-latissima_F_contig3773	1	7.3
seq00000056	S-latissima_F_contig4018	1	7.3
seq00000056	S-latissima_F_contig3638	1	7
seq00000056	S-latissima_F_contig4194	1	6.6
seq00000056	S-latissima_F_contig4226	1	5.6
seq00000056	S-latissima_F_contig4369	1	5.6
seq00000057_91	SL_07	136	7587.9
seq00000057_91	S-latissima_F_contig1134	2	136.4
seq00000057_91	S-latissima_F_contig1572	2	103.8
seq00000057_91	S-latissima_F_contig1721	1	79
seq00000057_91	S-latissima_F_contig2106	1	64.3
seq00000057_91	S-latissima_F_contig2329	1	54.7
seq00000057_91	S-latissima_F_contig2205	1	52.8
seq00000057_91	S-latissima_F_contig2166	1	50.3
seq00000057_91	S-latissima_F_contig2372	2	44.8
seq00000057_91	S-latissima_F_contig2363	1	41.7
seq00000057_91	S-latissima_F_contig2530	1	39.8
seq00000057_91	S-latissima_F_contig2702	1	39.3
seq00000057_91	S-latissima_F_contig2981	1	29.2
seq00000057_91	S-latissima_F_contig2892	1	29
seq00000057_91	S-latissima_F_contig3058	1	26.9
seq00000057_91	S-latissima_F_contig2878	1	26.6
seq00000057_91	S-latissima_F_contig2902	2	26
seq00000057_91	S-latissima_F_contig3482	1	18.4
seq00000057_91	S-latissima_F_contig3508	1	14.5
seq00000057_91	S-latissima_F_contig3902	1	10.4
seq00000057_91	S-latissima_F_contig4062	1	8.6
seq00000057_91	S-latissima_F_contig3531	1	8.2
seq00000057_91	S-latissima_F_contig4143	1	8
seq00000057_91	S-latissima_F_contig4162	1	7.5
seq00000057_91	S-latissima_F_contig3807	1	7.2
seq00000057_91	S-latissima_F_contig4227	1	6.7
seq00000057_91	S-latissima_F_contig3654	1	6.2
seq00000057_91	S-latissima_F_contig4392	1	5.7
seq00000057_91	S-latissima_F_contig3713	1	5.5
seq00000057_91	S-latissima_F_contig4258	1	5.4
seq00000058_82	SL_08	111	7138.5
seq00000058_82	S-latissima_F_contig985	1	163.5
seq00000058_82	S-latissima_F_contig1385	2	119.3
seq00000058_82	S-latissima_F_contig1357	2	118.1
seq00000058_82	S-latissima_F_contig1384	2	113.2
seq00000058_82	S-latissima_F_contig1355	1	112.8
seq00000058_82	S-latissima_F_contig1434	1	112.8
seq00000058_82	S-latissima_F_contig1237	2	112.4
seq00000058_82	S-latissima_F_contig1211	2	65.3
seq00000058_82	S-latissima_F_contig2046	2	62.9
seq00000058_82	S-latissima_F_contig1994	1	59.1
seq00000058_82	S-latissima_F_contig2268	1	54.3
seq00000058_82	S-latissima_F_contig2211	2	53.1
seq00000058_82	S-latissima_F_contig2359	2	51.3
seq00000058_82	S-latissima_F_contig2273	1	49.8
seq00000058_82	S-latissima_F_contig2353	2	43.7
seq00000058_82	S-latissima_F_contig2190	2	42.8
seq00000058_82	S-latissima_F_contig1918	3	40.6
seq00000058_82	S-latissima_F_contig2484	2	38.8
seq00000058_82	S-latissima_F_contig2718	2	38.2
seq00000058_82	S-latissima_F_contig2664	1	30.2
seq00000058_82	S-latissima_F_contig2882	1	30
seq00000058_82	S-latissima_F_contig1551	2	29
seq00000058_82	S-latissima_F_contig3280	1	21.1
seq00000058_82	S-latissima_F_contig2803	1	19.1
seq00000058_82	S-latissima_F_contig3016	1	19.1
seq00000058_82	S-latissima_F_contig3294	1	19.1
seq00000058_82	S-latissima_F_contig3484	2	18.2
seq00000058_82	S-latissima_F_contig3487	1	17.7
seq00000058_82	S-latissima_F_contig2949	2	17.1
seq00000058_82	S-latissima_F_contig3206	1	15.6
seq00000058_82	S-latissima_F_contig3734	1	11.9
seq00000058_82	S-latissima_F_contig2717	1	9.9
seq00000058_82	S-latissima_F_contig3789	1	9.2
seq00000058_82	S-latissima_F_contig3670	1	8.5
seq00000058_82	S-latissima_F_contig4000	1	7.4
seq00000058_82	S-latissima_F_contig4229	1	6.8
seq00000058_82	S-latissima_F_contig3955	1	6.3
seq00000058_82	S-latissima_F_contig3854	1	5.9
seq00000058_82	S-latissima_F_contig4407	1	5.7
seq00000058_82	S-latissima_F_contig3542	1	5.5
seq00000058_82	S-latissima_F_contig4100	1	5.4
seq00000058_82	S-latissima_F_contig4191	1	5.2
seq00000059	SL_10	106	6550.5
seq00000059	S-latissima_F_contig653	2	164.7
seq00000059	S-latissima_F_contig793	4	154.7
seq00000059	S-latissima_F_contig1030	7	151.6
seq00000059	S-latissima_F_contig1113	4	133.8
seq00000059	S-latissima_F_contig1304	2	122
seq00000059	S-latissima_F_contig1245	2	121.7
seq00000059	S-latissima_F_contig1616	1	96.5
seq00000059	S-latissima_F_contig1531	5	90.9
seq00000059	S-latissima_F_contig1263	2	86.4
seq00000059	S-latissima_F_contig1776	1	80.4
seq00000059	S-latissima_F_contig1367	3	74.5
seq00000059	S-latissima_F_contig1693	2	74.3
seq00000059	S-latissima_F_contig1933	1	73.4
seq00000059	S-latissima_F_contig1911	2	71
seq00000059	S-latissima_F_contig1954	3	67
seq00000059	S-latissima_F_contig1469	3	63.2
seq00000059	S-latissima_F_contig1748	3	62.6
seq00000059	S-latissima_F_contig2012	1	62.5
seq00000059	S-latissima_F_contig2188	1	57.3
seq00000059	S-latissima_F_contig1663	3	51.7
seq00000059	S-latissima_F_contig2403	2	51.1
seq00000059	S-latissima_F_contig2104	2	49.9
seq00000059	S-latissima_F_contig2512	1	43.9
seq00000059	S-latissima_F_contig2533	2	43.3
seq00000059	S-latissima_F_contig2538	1	42.9
seq00000059	S-latissima_F_contig2399	2	40.6
seq00000059	S-latissima_F_contig2494	1	38.1
seq00000059	S-latissima_F_contig2771	1	34.6
seq00000059	S-latissima_F_contig2620	1	30.7
seq00000059	S-latissima_F_contig2874	1	30
seq00000059	S-latissima_F_contig2674	2	28.3
seq00000059	S-latissima_F_contig2881	1	27.4
seq00000059	S-latissima_F_contig2952	1	27.4
seq00000059	S-latissima_F_contig3124	1	25.4
